,"Base 
(estudiante 1)","Sin adaptativo
(estudiante 1)","Sin normativo
(estudiante 1)","Sin afectivo
(estudiante 1)","Base
(estudiante 2)","Sin adaptativo
(estudiante 2)","Sin normativo
(estudiante 2)","Sin afectivo
(estudiante 2)","Base 
(estudiante 3)","Sin adaptativo
(estudiante 3)","Sin normativo
(estudiante 3)","Sin afectivo
(estudiante 3)", , , , 
Matemáticas_ S1,50,73,61,44,62,59,50,26,74,58,66,43, , , , 
Matemáticas_ S2,45,61,42,7,56,57,40,0,48,55,55,35, , , , 
Matemáticas_ S3,60,61,46,21,49,59,63,30,66,57,51,33, , , , 
Matemáticas_ S4,22,60,39,54,43,67,58,17,66,56,64,45, , , , 
Matemáticas_ S5,56,52,40,36,20,55,64,38,65,68,61,42, , , , 
Estrés_ S1,45,36,65,26,77,65,60,59,74,58,66,43, , , , 
Estrés_ S2,21,27,63,55,66,15,28,17,48,55,55,35, , , , 
Estrés_ S3,45,48,72,64,48,59,59,36,66,57,51,33, , , , 
Estrés_ S4,44,56,29,64,73,31,85,54,66,56,64,45, , , , 
Estrés_ S5,42,59,68,57,70,62,76,24,65,68,61,42, , , , 
