,"Base 
(matemáticas)","Sin adaptativo
(matemáticas)","Sin normativo
(matemáticas)","Sin afectivo
(matemáticas)","Base
(estrés)","Sin adaptativo
(estrés)","Sin normativo
(estrés)","Sin afectivo
(estrés)",,, , , , , , 
Estudiante1_ S1,50,73,61,44,45,36,65,26,,, , , , , , 
Estudiante1_ S2,45,61,42,7,21,27,63,55,,, , , , , , 
Estudiante1_ S3,60,61,46,21,45,48,72,64,,, , , , , , 
Estudiante1_ S4,22,60,39,54,44,56,29,64,,, , , , , , 
Estudiante1_ S5,56,52,40,36,42,59,68,57,,, , , , , , 
Estudiante2_ S1,62,59,50,26,77,65,60,59,,, , , , , , 
Estudiante2_ S2,56,57,40,0,66,15,28,17,,, , , , , , 
Estudiante2_ S3,49,59,63,30,48,59,59,36,,, , , , , , 
Estudiante2_ S4,43,67,58,17,73,31,85,54,,, , , , , , 
Estudiante2_ S5,20,55,64,38,70,62,76,24,,, , , , , , 
Estudiante3_ S1,34,59,34,49,74,58,66,43,,, , , , , , 
Estudiante3_ S2,38,65,39,17,48,55,55,35,,, , , , , , 
Estudiante3_ S3,44,45,58,36,66,57,51,33,,, , , , , , 
Estudiante3_ S4,87,46,51,55,66,56,64,45,,, , , , , , 
Estudiante3_ S5,65,74,69,42,65,68,61,42,,, , , , , , 
